benchmark,run,result
quadratic,baseline,785
quadratic,trivial_deadcode_elimination,783
quadratic,constant_folding,783
quadratic,liveness,783
quadratic,constant_liveness,783
quadratic,lvn,785
primes-between,baseline,574100
primes-between,trivial_deadcode_elimination,574100
primes-between,constant_folding,571439
primes-between,liveness,572102
primes-between,constant_liveness,569441
primes-between,lvn,574100
birthday,baseline,484
birthday,trivial_deadcode_elimination,483
birthday,constant_folding,483
birthday,liveness,483
birthday,constant_liveness,483
birthday,lvn,484
orders,baseline,5352
orders,trivial_deadcode_elimination,5352
orders,constant_folding,incorrect
orders,liveness,incorrect
orders,constant_liveness,incorrect
orders,lvn,5352
sum-check,baseline,5018
sum-check,trivial_deadcode_elimination,5018
sum-check,constant_folding,5018
sum-check,liveness,5018
sum-check,constant_liveness,5018
sum-check,lvn,5018
palindrome,baseline,298
palindrome,trivial_deadcode_elimination,298
palindrome,constant_folding,298
palindrome,liveness,295
palindrome,constant_liveness,295
palindrome,lvn,298
totient,baseline,253
totient,trivial_deadcode_elimination,253
totient,constant_folding,253
totient,liveness,253
totient,constant_liveness,253
totient,lvn,253
relative-primes,baseline,1923
relative-primes,trivial_deadcode_elimination,1914
relative-primes,constant_folding,1914
relative-primes,liveness,1914
relative-primes,constant_liveness,1914
relative-primes,lvn,1923
hanoi,baseline,99
hanoi,trivial_deadcode_elimination,99
hanoi,constant_folding,99
hanoi,liveness,99
hanoi,constant_liveness,99
hanoi,lvn,99
is-decreasing,baseline,127
is-decreasing,trivial_deadcode_elimination,127
is-decreasing,constant_folding,125
is-decreasing,liveness,127
is-decreasing,constant_liveness,125
is-decreasing,lvn,127
check-primes,baseline,8468
check-primes,trivial_deadcode_elimination,8419
check-primes,constant_folding,8419
check-primes,liveness,8419
check-primes,constant_liveness,8419
check-primes,lvn,8468
sum-sq-diff,baseline,3038
sum-sq-diff,trivial_deadcode_elimination,3036
sum-sq-diff,constant_folding,3036
sum-sq-diff,liveness,3036
sum-sq-diff,constant_liveness,3036
sum-sq-diff,lvn,3038
fitsinside,baseline,10
fitsinside,trivial_deadcode_elimination,10
fitsinside,constant_folding,10
fitsinside,liveness,10
fitsinside,constant_liveness,10
fitsinside,lvn,10
fact,baseline,229
fact,trivial_deadcode_elimination,228
fact,constant_folding,228
fact,liveness,228
fact,constant_liveness,228
fact,lvn,229
loopfact,baseline,116
loopfact,trivial_deadcode_elimination,115
loopfact,constant_folding,115
loopfact,liveness,115
loopfact,constant_liveness,115
loopfact,lvn,116
recfact,baseline,104
recfact,trivial_deadcode_elimination,103
recfact,constant_folding,103
recfact,liveness,103
recfact,constant_liveness,103
recfact,lvn,104
factors,baseline,72
factors,trivial_deadcode_elimination,72
factors,constant_folding,72
factors,liveness,72
factors,constant_liveness,72
factors,lvn,72
perfect,baseline,232
perfect,trivial_deadcode_elimination,232
perfect,constant_folding,232
perfect,liveness,232
perfect,constant_liveness,232
perfect,lvn,232
bitshift,baseline,167
bitshift,trivial_deadcode_elimination,167
bitshift,constant_folding,167
bitshift,liveness,167
bitshift,constant_liveness,167
bitshift,lvn,167
digital-root,baseline,247
digital-root,trivial_deadcode_elimination,247
digital-root,constant_folding,247
digital-root,liveness,247
digital-root,constant_liveness,247
digital-root,lvn,247
up-arrow,baseline,252
up-arrow,trivial_deadcode_elimination,252
up-arrow,constant_folding,252
up-arrow,liveness,252
up-arrow,constant_liveness,252
up-arrow,lvn,252
sum-divisors,baseline,159
sum-divisors,trivial_deadcode_elimination,159
sum-divisors,constant_folding,159
sum-divisors,liveness,159
sum-divisors,constant_liveness,159
sum-divisors,lvn,159
ackermann,baseline,1464231
ackermann,trivial_deadcode_elimination,1464231
ackermann,constant_folding,1464231
ackermann,liveness,1464231
ackermann,constant_liveness,1464231
ackermann,lvn,1464231
pythagorean_triple,baseline,61518
