benchmark,run,result
quadratic,baseline,1.0
quadratic,lvn,1.0
primes-between,baseline,1.0
primes-between,lvn,1.0
birthday,baseline,1.0
birthday,lvn,1.0
orders,baseline,1.0
orders,lvn,1.0
sum-check,baseline,1.0
sum-check,lvn,1.0
palindrome,baseline,1.0
palindrome,lvn,1.0
totient,baseline,1.0
totient,lvn,1.0
relative-primes,baseline,1.0
relative-primes,lvn,1.0
hanoi,baseline,1.0
hanoi,lvn,1.0
is-decreasing,baseline,1.0
is-decreasing,lvn,1.0
check-primes,baseline,1.0
check-primes,lvn,1.0
sum-sq-diff,baseline,1.0
sum-sq-diff,lvn,1.0
fitsinside,baseline,1.0
fitsinside,lvn,1.0
fact,baseline,1.0
fact,lvn,1.0
loopfact,baseline,1.0
loopfact,lvn,1.0
recfact,baseline,1.0
recfact,lvn,1.0
factors,baseline,1.0
factors,lvn,1.0
perfect,baseline,1.0
perfect,lvn,1.0
bitshift,baseline,1.0
bitshift,lvn,1.0
digital-root,baseline,1.0
digital-root,lvn,1.0
up-arrow,baseline,1.0
up-arrow,lvn,1.0
sum-divisors,baseline,1.0
sum-divisors,lvn,1.0
ackermann,baseline,1.0
ackermann,lvn,1.0
pythagorean_triple,baseline,1.0
pythagorean_triple,lvn,1.0
euclid,baseline,1.0
euclid,lvn,1.0
binary-fmt,baseline,1.0
binary-fmt,lvn,1.0
lcm,baseline,1.0
lcm,lvn,1.0
gcd,baseline,1.0
gcd,lvn,1.0
catalan,baseline,1.0
catalan,lvn,1.0
armstrong,baseline,1.0
armstrong,lvn,1.0
pascals-row,baseline,1.0
pascals-row,lvn,1.0
collatz,baseline,1.0
collatz,lvn,1.0
sum-bits,baseline,1.0
sum-bits,lvn,1.0
rectangles-area-difference,baseline,1.0
rectangles-area-difference,lvn,1.0
mod_inv,baseline,1.0
mod_inv,lvn,1.0
reverse,baseline,1.0
reverse,lvn,1.0
fizz-buzz,baseline,1.0
fizz-buzz,lvn,1.0
bitwise-ops,baseline,1.0
bitwise-ops,lvn,1.0
cholesky,baseline,1.0
cholesky,lvn,1.0
mat-inv,baseline,1.0
mat-inv,lvn,1.0
dead-branch,baseline,1.0
dead-branch,lvn,1.0
ray-sphere-intersection,baseline,1.0
ray-sphere-intersection,lvn,1.0
conjugate-gradient,baseline,1.0
leibniz,baseline,1.0
leibniz,lvn,1.0
n_root,baseline,1.0
n_root,lvn,1.0
newton,baseline,1.0
newton,lvn,1.0
euler,baseline,1.0
euler,lvn,1.0
riemann,baseline,1.0
riemann,lvn,1.0
mandelbrot,baseline,1.0
mandelbrot,lvn,1.0
norm,baseline,1.0
norm,lvn,1.0
cordic,baseline,1.0
cordic,lvn,1.0
pow,baseline,1.0
pow,lvn,1.0
sqrt,baseline,1.0
sqrt,lvn,1.0
quickselect,baseline,1.0
quickselect,lvn,1.0
sieve,baseline,1.0
sieve,lvn,1.0
bubblesort,baseline,1.0
bubblesort,lvn,1.0
primitive-root,baseline,1.0
primitive-root,lvn,1.0
adler32,baseline,1.0
adler32,lvn,1.0
adj2csr,baseline,1.0
adj2csr,lvn,1.0
csrmv,baseline,1.0
dot-product,baseline,1.0
major-elm,baseline,1.0
major-elm,lvn,1.0
max-subarray,baseline,1.0
max-subarray,lvn,1.0
mat-mul,baseline,1.0
mat-mul,lvn,1.0
fib,baseline,1.0
fib,lvn,1.0
vsmul,baseline,1.0
vsmul,lvn,1.0
quicksort-hoare,baseline,1.0
quicksort-hoare,lvn,1.0
quicksort,baseline,1.0
quicksort,lvn,1.0
two-sum,baseline,1.0
two-sum,lvn,1.0
eight-queens,baseline,1.0
eight-queens,lvn,1.0
binary-search,baseline,1.0
binary-search,lvn,1.0
